strategy,window/lead,,max,mean,median,min
AggregatedFutureStrategy,2,,1.2,1.8,1.8,1.9
AggregatedFutureStrategy,3,,1.2,2.0,1.9,2.0
AggregatedFutureStrategy,4,,1.2,2.1,2.1,2.0
AggregatedFutureStrategy,5,,1.2,2.2,2.1,2.0
AggregatedFutureStrategy,10,,1.0,2.3,2.2,2.0
AggregatedFutureStrategy,15,,0.9,2.2,2.1,1.9
AggregatedFutureStrategy,30,,0.7,2.0,1.9,1.7
AggregatedFutureStrategy,60,,0.6,1.6,1.6,1.4
AggregatedFutureStrategy,120,,0.4,1.1,1.2,1.1
FutureLookupStrategy,,1.3,,,,
NthValueStrategy,1,1.3,,,,
NthValueStrategy,2,2.0,,,,
NthValueStrategy,3,2.1,,,,
NthValueStrategy,4,2.1,,,,
NthValueStrategy,5,2.1,,,,
NthValueStrategy,10,2.0,,,,
NthValueStrategy,15,1.7,,,,
NthValueStrategy,30,1.2,,,,
NthValueStrategy,60,0.8,,,,
NthValueStrategy,120,0.6,,,,
